name: POP CULTURE
label: 2019030505
description: Film and TV

Sticky Fingers: Jann Wenner       Joe Hagan                 Penguin
Infinite Jest                     David Foster Wallace      BackBay
The Rolling Stone Interviews      various                   BackBay
Blind in One Ear                  Patrick Macnee            Harrup
Face the Music: A life Exposed    Paul Stanley              Harper
The Naked Truth                   Leslie Nielsen/Fisher     Pocket
Futuretainment                    Mike Walsh                Phaidon
A Kentish Lad                     Frank Muir                Bantam
The Frank Muir Book               Frank Muir                Heinemann
Altered States                    Ken Russell               Bantam
Heartbreaking work of Staggering Genius  Dave Eggers        Picador
Inherent Vice                     Thomas Pynchon            Vintage
KISS and Make Up                  Gene Simmons              Arrow
Wired: John Belushi               Bob Woodward              faber
Conversations w/Woody Allen       Eric Lax                  Auruum
The Best of the Saint: Vol 1      Leslie Charteris          Hodder
Gravity's Rainbox                 Thomas Pynchon            JonathanCape
