name: BIOGRAPHY
label: 2019030803
description: Biographies

James Joyce                               Richard Ellmann        Oxford
Franco Zeffirelli: Autobiography          Franco Zeffirelli      Arena
Diana Rigg biography                      Kathleen Tracy         Benbella
Isambard Kingdom Brunel                   I.T.C Rolt             Penguin
Auchmuty biography                        K R Dutton             Boombana
Memoirs of Zelman Cowen                   Zelman Cowen           Miegunyah
I am Jackie Chan                          Jackie Chan            Ballantine
I am what I am                            John Barrowman         OMara
Von Braun                                 Michael J Neufeld      vintage
Never Say Die                             Chris O'Brien          HarperCollins
My word is my bond                        Roger Moore            HarperCollins
Finding out: Ian Roberts                  Paul Freeman           RandomHouse
Mayor of Castro Street: Harvey Milk       Randy Shilts           StMartins
Wednesdays with Bob                       Hawke/Derek Riley      Macmillan
Jack of all trades Mistress of One        Grahame Bond           NewSouth
My name is Ross                           Ross Fitzgerald        NewSouth
Through thick and thin                    Gok Wan                ebury
Dostoyevsky biography                     Richard Freeborn       Haus
Tito biography                            Neil Barnett           Haus
Straight Face                             Nigel Hawthorne        Sceptre
Prick up your ears (Joe Orton)            John Lahr              Penguin
David Williamson: Behind the Scenes       Kristin Williamson     Penguin
