name: THEATRE
label: 2019030804
description: Plays mostly

Dante: Divine Comedy                      Clive James            Picador
Divine Comedy                             Dante                  Oxford
Old Possums Book of Practical Cats        T S Eliot              faber
Orton: Complete Plays                     Joe Orton              methuen
Oscar Wilde Complete Plays                Oscar Wilde            penguin
Under Milk Wood                    Thomas                   Everyman
Franco Zeffirelli: Autobiography          Franco Zeffirelli      Arena
Auchmuty biography                        K R Dutton             Boombana
Wednesdays with Bob                       Hawke/Derek Riley      Macmillan
My name is Ross                           Ross Fitzgerald        NewSouth
Dostoyevsky biography                     Richard Freeborn       Haus
Prick up your ears (Joe Orton)            John Lahr              Penguin
