name: PENG CLASSICS
label: 2019030904
description: Penguin Classics
loc: flemshed

Amis and Son                        Neil Powell             Pan
Stanley and the Women               Kingsley Amis           Vintage
Kingsley Amis Memoirs               Kingsley Amis           Penguin
Everyday Drinking                   Kingsley Amis           Routledge
Jake's Thing                        Kingsley Amis           Penguin
The Anti-Death League               Kingsley Amis           Penguin
Difficulties with Girls             Kingsley Amis           Penguin
Lucky Jim                           Kingsley Amis           Penguin
The King's English                  Kingsley Amis           HarperCollins
The Life of Kingsley Amis           Zachary Leader          JonathanCape
The Letters of Kingsley Amis        ed Zachary Leader       HarperCollins


