name: SHAKESPEREANA
label: 2019031101
description: About Shakespeare

Shakespeare                          Bill Bryson            Atlas
Soul of the Age                      Jonathan Bate          Penguin
Shakespeare On Toast                 Ben Crystal            Icon
The Genius of Shakespeare            Jonathan Bate          Picador
Shakespeare's Words: Glossary        David and Ben Crystal  Penguin
Contested Will                       James Shapiro          Faber
1606: Shakespeare and Year of Lear   James Shapiro          Faber
1599: A Year in Shakespeare Life     James Shapiro          HarperPerennial
WS: The Man Behind the Genius        Anthony Holden         LittleBrown
Shakespeare's Restless World: 25 objects NeilMacGregor      Viking
Subtle Art of Not Giving a Fuck            Manson                Macmillan
D-Day Normandy                             Beevor                Penguin
History of England IV Revolution           Ackroyd               Macmillan
Captial in the 21st Century                Piketty               Harvard
Defectors                                  Kanon                 SimonSchuster
