name: IT - VARIOUS
label: 2019031102
description: Various IT books including gaming
loc: flemshed

The Game Design Reader               Salen/Zimmerman        mitp
Gamer's Guide to Coding              Gordon McComb          Sterling
Network Algorithmics                 George Varghese        MK
Head First Java (Dup?)               Sierra/Bates           ORA
Technical Java                    Grant Palmer            PTR
Just Java 2 6e                    Peter van der Linden    PTR
not Just Java 2e                  Peter van der Linden    PTR
Java in a Nutshell 4e             David Flanagan          ORA
Practical Java                    Peter Haggar            AWL
Radicals, Resistance and Revenge         Judge Pirro          CentreStreet
Dave Barry Turns 50                      Dave Barry           RandomHouse
The Eureka Way                           Alan Koehler         ABC
When the World Stopped to Listen         Stuart Isacoff       AlfredKnopf
