name: SHAKESPEARE (NON-RSC)
label: 2019031201
description: Shakespeare editions, non-RSC

Four Comedies (Taming/Dream/AsYou/Twelfth) Shakespeare      Penguin
Four Histories (Rich2/Henry4Pt1/Henry4Pt2/HenryV) Shakespeare Penguin
Four Tragedies (Haml/Othello/Lear/Macbeth) Shakespeare      Penguin
Three Roman PLays (JuliusC/AnthonyCleo/Coriol) Shakespeare  Penguin
Henry The Eighth                           Shakespeare      Penguin
Sonnetts and a Lover's Complaint           Shakespeare      Penguin
Julius Caesar                              Shakespeare      Cambridge
The Tempest                                Shakespeare      Cambridge
Henry VI Part 1                            Shakespeare      Cambridge
Hamlmet                                    Shakespeare      Cambridge
King Lear                                  Shakespeare      Cambridge
Antony and Cleopatra                       Shakespeare      Cambridge
Henry IV Part 1                            Shakespeare      Cambridge
Romeo and Juliet                           Shakespeare      Cambridge
Cambridge Into to Shakespeare Histories    Shakespeare      Cambridge
Bell Shakespeare: King Lear                ed Philippa Kelly Halstead
No Fear Shakespeare: Richard III           Shakespeare      SparkNotes
Richard III                                Shakespeare      Oxford
The Tempest                                Shakespeare      Oxford
Taming of the Shrew                        Shakespeare      Oxford
Titus Andronicus                           Shakespeare      Oxford
Henry IV Part 1                            Shakespeare      Oxford
Hamlet                                     Shakespeare      Oxford
Romeo and Juliet                           Shakespeare      Oxford
