name: CYBERTODD
label: 2019031301
descrption: Sci-fi books many from Todd Hunter

The Red Men                              Matthew De Abaitua  snowbooks
Redshirts                                John Scalzi         Tor
Colony                                   Rob Grant           Penguin
Red Dwarf Programme Guide                Howarth/Lyons       Virgin
Peter and the Starcatchers               Dave Barry/Pearson  Disney
Erebos                                   Ursula Poznanski    AllenUnwin
Daemon                                   Daniel Suarez       Quercus
Dave Barry in Cyberspace                 Dave Barry          Fawcett Columbine
Feed                                     M T Anderson        Candlewick
The Circle                               Dave Eggers         Vintage
Affluenza                                Oliver James        vermillion
Geek Nation (Indian Science)             Angela Saini        Hodder
Bull                                     Douglas Rushkoff    Sceptre
