name: IT - UNIX GRAPHICS
label: 2019040101
description: mostly scifi books

Apache Web Server Admin    Aulds               Sybex
Dune/Messiah/ChildrenOfDune                  Frank Herbert           Guild
Heretics of Dune                             Frank Herbert           Gollancz
God Emperor of Dune                          Frank Herbert           NewEnglish
Chapter House Dune                           Frank Herbert           NewEnglish
King Rat                                     China Mieville          Pan
Embassytown                                  China Mieville          Pan
Foundation                                   Isaac Asimov            HarperColl
Foundation and Empire                        Isaac Asimov            HarperColl
Second Foundation                            Isaac Asimov            HarperColl
Prelude to Foundation                        Isaac Asimov            HarperColl
Foundation's Edge                            Isaac Asimov            HarperVoy
Foundation and Earth                         Isaac Asimov            HarperVoy
loc: flemshed
