name: IT WEB PHP LINUX
label: 2019040102
description: mixture; mostly front end web and PHP
loc: flemshed

Vi IMproved - Vim            Oualline         NewRiders
Theory of Computation        Brookshear       BenjaminCummings
CVS  Pocket Reference        Purdy            ORA
GIMP Pocket Reference        Neumann          ORA
SQLite                       Newman           SAMS
Virtualisation: A Beginner's Guide    Ruest/Ruest      McGrawHill 
GNU Make                              RMS/McGrath      GNU
Debugging with GDB                    RMS/Cygnus       GNU
Guide to buying and selling your home    FIXME               FIXME
How the hell did this happen?        P J O'Rourke          Grove
The Howard Era (essays)              various               Quadrant
Culture of Complaint                 Robert Hughes         NewYorkPublic
The Best of Spectator Aus 2014-2017  ed Dean               WP
Funemployed                          Justin Heazlewood     Affirm
Dante: Divine Comedy                      Clive James            Picador
Old Possums Book of Practical Cats        T S Eliot              faber
Orton: Complete Plays                     Joe Orton              methuen
Under Milk Wood                    Thomas                   Everyman
Dostoyevsky biography                     Richard Freeborn       Haus
