name: SCI-FICTION
label: 2019042301
description: science fiction

The Children of Men              P.D.James          faber
The Day of the Triffids          Wyndham            Penguin
Chocky                           Wyndham            Penguin
Neuromancer                      William Gibson     HarperCollins
Count Zero                       William Gibson     HarperCollins
Mona Lisa Overdrive              William Gibson     HarperCollins
Burning Chrome                   William Gibson     HarperCollins
Virtual Light                    William Gibson     Penguin
Pattern Recognition              William Gibson     Penguin
Spook Country                    William Gibson     Berkley
American Gods                          Gaiman          headline
2312                                   StanleyRobinson Orbit
Illuminatus Trilogy                    Shea/Wilson     dontcare
Brave New World                        Huxley          Granada
Brave New World Revisited              Huxley          Granada
Doctor Who Dalek Handbook              Tribe/Goss      BBC
The Peripheral                         William Gibson          Viking
All Tomorrows Parties                  William Gibson          Viking
Doctor Who: The Pirate Planet               James Goss              BBC
Feed                                     M T Anderson        Candlewick
