name: CREAMY PENGUINS
label: 2019042604
description: penguin non fiction

The Better Angels of Our Nature Stephen Pinker    Penguin
In Defence of Food            Michael Pollan     Penguin
The Quest                     Daniel Yergin       Penguin
The Square and the Tower      Niall Fergusson    Penguin
Think like a Freak            Levitt/Dubner       Penguin
China's War with Japan        Rana Mitter         Penguin
Turing's Cathedral            George Dyson        Penguin
Plutocrats                             Freeland             Penguin
Flash Boys                             Lewis                Penguin
Napoleon the Great                     Roberts              Penguin
Civilization                  Niall Ferguson      Penguin
Happiness by Design                    Dolan                Penguin
Iron Curtain                           Applebaum            Penguin
How not to be wrong                    Ellenberg            Penguin
The Shepherd's Life                    Rebanks              Penguin
1914-1918 World War 1 History          Stevenson            Penguin
Poor Economics                         Banerjee             Penguin
I'm feeling lucky                      Edwards              Penguin
Engineers of Victory          Paul Kennedy        Penguin
How the French Think                   Hazareesingh         Penguin
You Aren't What you Eat       Stephen Poole                 Scribe
