name: NEW YORKER THURBER FILM
label: 2019050302
description: New Yorker books + thurber + film

Orson Welles                          Fitzgerald          PocketEssentials
A Fish Called Wanda                   Cleese/Crichton     Methuen
Nobody's Perfect                      Lane                Picador
The Years with Ross pb                Thurber             Perennial
Let your mind alone                   Thurber             Mandarin
Vintage Thurber Volume 1              Thurber             Penguin
Vintage Thurber Volume 2              Thurber             Penguin
Seeing is Believing                   Biskind             bloomsbury
Fierce Pajamas: humour anthology      ed Remnick          ModernLibrary
The only game in town:sportswriting   ed Remnick          ModernLibrary
How about never?                      Mankoff             Picador
New Yorker Book of the 40s            ed Finder           WilliamHeinemann
Disquiet Please:humour writing        ed Remnick          ModernLibrary
Easy Riders, Raging Bulls             Biskind             SimonSchuster
My lunches with Orson                 Jaglom/Welles       Metropolitan
Down and Dirty Pictures               Biskind             SimonSchuster
Cast of Characters: Golden Age of the New Yorker Thomas Vinciguerra Norton
About Town: New Yorker and the World it Made    Ben Yagoda          DaCapo
Life Stories: Profiles from The New Yorker      ed Remnick          Modern
