name: LINUX ORA HACKS
label: 2019091801
description: O'Reilly HACKS books

Teach yourself Ajax in 10 minutes         Ballard           SAMS
Black Hat                                 Biggs             Apress
A Quarter Century of UNIX                 Salus             AWL
The Geek Atlas                            Graham-Cunning    ORA
Just a Geek                               Wheaton           ORA
Facebook: The Missing Manual              Veer              ORA
Mind Performance Hacks                    Hale-Evans        ORA
Podcasting Hacks                          Harrington        ORA
Excel Hacks 2e                            Hawley            ORA
Linux Multimedia Hacks                    Rankin            ORA
eBay Hacks 2e                             Karp              ORA
Firefox Hacks                             McFarlane         ORA
IRC Hacks                                 Mutton            ORA
Amazon Hacks                              Bausch            ORA
Google Maps Hacks                         Gibson/Erle       ORA
Wireless Hacks                            Flickenger        ORA

FIXME: add the books below
SQL Hacks                                 Cumming/Russell   ORA
PDF Hacks                                 Steward           ORA

