name: SHIPLOADS
label: 2019111402
description: Shiploads of smaller sized books
loc: flemshed

Think Again: How to Reason and Argue       Walter Sinnott-Armstrong Pelican
Release the Bats                           D B C Pierre             faber
Male Order (mans style guide)              Richard Clune            NewHolland
Made in America                            Bill Bryson              Minerva
The Cargo Club                             Peter Corris             Penguin
Pokerface                                  Peter Corris             Penguin
The Black Cloud                            Fred Hoyle               Penguin
The Joke's Over (HST Memories)             Ralph Steadman           Arrow
Scorn: Wittiest Insults                    Matthew Parris           Profile
The Angry Chef                             Anthony Warner           OneWorld
The Phantom Tollbooth                      Norton Juster            Lions
Three Men in a Boat                    Jerome               Penguin
Permanent Present Tense                Corkin               Permanent
Paris Secret History          Andrew Hussey       Penguin
