name: TOP SHELF
label: 2019111802
description: Books from above my bookshelves in the garage

The Oxbridge Conspiracy                  Walter Ellis        MichaelJoseph
The House (Sydney Opera House)           Helen Pitt          AllenUnwin
Down and Dirty in Pictures               Peter Biskind       SimonSchuster
Big Science (Ernest Lawrence)            Michael Hiltzik     SimonSchuster
Homo Deus: Brief History of Tomorrow     Yuval Noah Harari   Vintage
The Menzies Era (hb)                     John Howard         HarperCollins
The Strange Death of Europe              Douglas Murray      bloomsbury
The Subtle Art of Not Giving a Fuck      Mark Manson         HarperOne
All the wrong places                      Fenton            Penguin
20s AgCh BrownSuit/Chimneys/PoirotInvesti Christie          HarperCollins
American Journeys                         Watson            Vintage
Encyclopeida Neurotica                    Winokur           StMartinsGriffin
The Social Animal                         Brooks            shortbooks
Content Critical                          McGovern/Norton   PTR
Artists in Exile                          Horowitz          HarperPerennial
Page-a-minute Memory Book                 Lorayne           A&R
One Hundred Strokes of Brush before bed   Melissa P         SerpentsTail
The Uncommercial Traveller                Dickens           Heron
The Churchill Legend                      Cawthorne         Cleaver-Hume
The World and Wikipedia                   Dalby             Siduri
Bomber Boys                               Wilson            Cassell
Cancer Explained                          Stephens          Wakefield
Fighting Cancer                           Frank             BlackInc

(CFORD) Can of Worms II                          Evan Whitton        fairfax
(CFORD) The Fixer: Graham Richardson             Marian Wilkinson    WilliamHeinemann
