name: VARIOUS
label: 2019112702
description: Various books

Kick Ass (columns)                          Karl Hiaasen            UPFlorida
Plenty more fish in the CBD                 David Rhind/Neal        RHNewZeal
The Volunteer: Secret Mossad life           Michael Ross            Vision
Every Spy a Prince                          Dan Raviv               MarcJaffe
Shooting the Picture (press photography)    Fay Anderson            Miegunyah
Hoffa                                       Arthur A Sloane         MITP
A Point of View                             Clive James             Picador
A Fiery Peace in a Cold War                 Neil Sheehan            RandomHouse
The Reckoning                               Patrick Bishop          WilliamColl
Early Riser                                 Jasper Fforde           HodderStou
Playing the Moldovians at Tennis            Tony Hawks              ebury
2023: A Trilogy by the JAM                  JAM                     faber
Doctor Who: The Pirate Planet               James Goss              BBC
The Graveyard Book                          Neil Gaiman             Harper
The Rise and Fall of D.I.D.O                Neal Stephenson/Gallard borough
Lost at Sea                                 Jon Ronson              Picador
The Eyre Affair                             Jasper Fforde           HodderStou
What a croc!                                NT News                 hachette
150 Great Australian Beers                  James Smith             hardieGrant
