name: SMALLBOX
label: 2019121002
description: Small flat box of various books

A is for Armageddon                       Richard Horne        SquarePeg
If you don't mind Umpire! (AFL)           Brian Hansen/Dyer    Hansen
Borders Up!                               Vitali Vitaliev      Scribner
Enchantress of Florence                 Salman Rushdie       JonathanCape
Shalimar the Clown                    Salman Rushdie        JonathanCape
The Satanic Verses                    Salman Rushdie        Viking
Golden House                      Salman Rushdie             JonathanCape
Imaginary Homelands               Salman Rushdie             Vintage
Fury                               Rushdie                  Vintage
The Moor's Last Sigh               Rushdie                  Vintage
Shame                              Rushdie                  Vintage
Haroun and the Sea of Stories        Salman Rushdie         Puffin
East, West                           Salman Rushdie         Vintage
Midnight's Children                  Salman Rushdie         Vintage
The Jaguar Smile                     Salman Rushdie         Vintage
The Ground beneath her feet          Salman Rushdie         JonathanCape
Joseph Anton                                   Rushdie       JonathanCape
Grimus                                   Salman Rushdie      Gollancz
