name: POLITICS
label: 2019130502
description: Politics, US and Australia

Politics Lost                            Joe Klein              doubleday
Top Price                                Matt Price             HarperCollins
Nixon and Kissinger                      Robert Dallek          Harper
When we were young and foolish           Greg Sheridan          AllenUnwin
Kissinger 1923-1968: The Idealist               Niall Ferguson      Penguin
Cast of Characters: Golden Age of the New Yorker Thomas Vinciguerra Norton
About Town: New Yorker and the World it Made    Ben Yagoda          DaCapo
Life Stories: Profiles from The New Yorker      ed Remnick          Modern
Style Manual for authors, editors and printers  AusGovt             AGPS
Proust bio                                      Edmund White        W&N
Pandora's Box: Life's little nasties            Dr Cindy Pan        HarperColl
igNobel Prizes                                  Marc Abrahams       Orion
