Force of Nature: Life of Linus Pauling             Hager     SimonShuster
Cultural Amnesia                               Clive James   Norton
Mathematics in Western Culture                  Kline            Pelican
Facts from Figures                              Moroney          Pelican
Domesticated Brain                              Hood             Pelican
Economics: The User's Guide                     Chang            Pelican
The Origins of the 2nd World War                Taylor           Penguin
The Price of Inequality                         Joseph Stiglitz  Penguin
French Toast                                    Peta Mathias     Penguin
Consider the Fork                               Bee Wilson       Penguin
The Great Tradition                F.R.Leavis             Pelican
