name: BLAKE LITERARY
label: 2019131301
description: Near Piano in Flemington

Compendium                                  Eric Sykes          Virgin
Candy is Dandy: Best of Ogden Nash          Ogden Nash          AndreDeutsch
The World From Islam                        George Negus        HarperCollins
The Time of our Singing                     Richard Powers      Vintage
A Spot of Bother                            Mark Hadden         FourthEstate
The Amazing Adventures of Kavalier and Clay Michael Chabon      FourthEstate
Oscar Wilde                                 Richard Ellmann     Penguin
The Sunne in Splendour                      Sharon Penman       Penguin
A King's Ransom                             Sharon Penman       Penguin
Redcoat                                     Richard Holmes      HarperCollins

