# Authors I have 3-10 books of, not enough for their own file
Testaments                           Margaret Attwood      DontCare (CMC)
Bombadiers                           Po Bronson            Penguin
The First 20 million is the hardest  Po Bronson            SeckerWarburg
Nudist on the Late Shift             Po Bronson            Vintage
Top Dog                              Po Bronson/Merryman   ebury
What should I do with my life?       Po Bronson            SeckerWarburg
Everyone Brave is Forgiven           Chris Cleave          Sceptre
Incendiary                           Chris Cleave          ChattoWindus
Gold                                 Chris Cleave          Sceptre
The Other Hand                       Chris Cleave          Sceptre
Curious Incident of Dog Nighttime    Mark Haddon           Definitions
This is not the end of the book      Eco/Carriere          HarvillSecker
Apocalypse Postponed         lost?   Umberto Eco           Flamingo
Focault's Pendulum           lost?   Umberto Eco           Picador
How to travel with a Salmon  lost?   Umberto Eco           HarvillSecker
Misreadings                          Umberto Eco           Picador
The Name of the Rose         lost?   Umberto Eco           Picador
Burnt out cast,A                     Graham Greene         penguin
Captain and the Enemy,The            Graham Greene         penguin
Comedians,The                    hbc Graham Greene         penguin
Confidential Agent,The               Graham Greene         penguin
End of the Affair,The     balcony    Graham Greene         penguin
Doctor Fischer of Geneva  balcony    Graham Greene         penguin
England Made Me                  hbc Graham Greene         penguin
Heart of the Matter,The              Graham Greene         penguin
Honorary Consul,The                  Graham Greene         penguin
Human Factor,The                     Graham Greene         penguin
It's a Battlefield               hbc Graham Greene         penguin
Loser takes all                      Graham Greene         penguin
Monsignor Quixote                    Graham Greene         penguin
Power and the Glory,The          hbc Graham Greene         penguin
Our Man in Havana                hbc Graham Greene         penguin
Quiet American,The                   Graham Greene         Vintage
Stamboul Train                       Graham Greene         penguin
Alibi                                Joseph Kanon          sphere
Defectors                            Joseph Kanon          SimonSchuster
The Good German                      Joseph Kanon          LittleBrown
Istanbul Passage                     Joseph Kanon          SimonSchuster
Leaving Berlin                       Joseph Kanon          SimonSchuster
Los Alamos                     R2024 Joseph Kanon          abacus
The Prodigal Spy                     Joseph Kanon          abacus
Stardust                             Joseph Kanon          SimonSchuster
# Michael Lewis see also allen_lane.txt
The Big Short                        Michael Lewis         penguin
The Future Just Happened             Michael Lewis         coronet
Liar's Poker                         Michael Lewis         Hodder
The Money Culture                    Michael Lewis         HodderStoughton
Moneyball                            Michael Lewis         Norton
Panic!                            ed Michael Lewis         Penguin
The Accidental Billionaires          Ben Mezrich           arrow
The Antisocial Network               Ben Mezrich           HarperCollins R2023
Bitcoin Billionaires                 Ben Mezrich           abacus
Bringing Down the House              Ben Mezrich           arrow
Breaking Twitter                     Ben Mezrich           Macmillan
Busting Vegas                        Ben Mezrich           arrow
Once upon a time in Russia           Ben Mezrich           Heinemann
Ugly Americans                       Ben Mezrich           arrow
America                              Joe Queenan           picador
Closing Time                         Joe Queenan           picador
Confessions of a Cineplex Heckler    Joe Queenan           picador
My Goodness: Cynic search sainthood  Joe Queenan           picador
One for the Books                    Joe Queenan           penguin
The Men who Stare at Goats           Jon Ronson            picador
So You've been publicly shamed       Jon Ronson            picador
Big Brother                          Lioner Shriver        Fourth R2023
Checker and the Derailleurs          Lioner Shriver        borough
The Female of the Species            Lioner Shriver        borough
Game Control                         Lioner Shriver        borough
The Mandibles                        Lioner Shriver        borough
So Much For That                     Lioner Shriver        borough
We need to talk about Kevin          Lioner Shriver        serpentstail
