# Biographies. Sorted by Subject's surname
# For this file I'm not interested in the publisher, so field 3 is
# the surname of the subject
Apropos of Nothing                        Woody Allen        Allen
Wired: John Belushi                       Bob Woodward       Belushi
The Richard Burton Diaries                ed Chris Williams  Burton
Churchill                                 John Keegan        Churchill
Thanks a lot Mr Kibbewhite: My Story      Roger Daltrey      Daltrey
Dickens (hb)                              Peter Ackroyd      Dickens
Dickens                                   Simon Callow       Dickens
Charles Dickens a Life                    Claire Tomalin     Dickens
Code Breaker                              Walter Isaacson    Doudna
Dostoyevsky biography                     Richard Freeborn   Dostoyevsky
My Family and Other Animals           hbc Gerald Durrell     Durrell
Sir Alexander Fleming                 hbc Andre Maurois      A Fleming
Benjamin Frankin                          Walter Isaacson    Franklin
Ten Steps to Nanette                      Hannah Gadsby      Gadsby
Letters of Rachel Henning             hbc ed David Adams     Henning
Cultural Amnesia                          Clive James        James
Unreliable Memoirs                        Clive James        James
Steve Jobs bio                            Walter Isaacson    Jobs
Fifty Shades of 50                        Brendan Jones      Jones
Die Laughing: Biography of Bill Leak      Fred Pawle         Leak
Long Walk to Freedom         lost?        Nelson Mandela     Mandela
Mao: The Unknown Story       lost?        Jung Chang/Halday  Mao
Elon Musk                                 Walter Isaacson    Musk
Spike Milligan                            Humphrey Carpenter Milligan
Napoleon                                  Paul Johnson       Napoleon
Nixon and Kissinger                       Robert Dallek      Nixon/Kissinger
Ronald Reagan                             Jacon Weisberg     Reagan
Altered States                            Ken Russell        Russell
Golden Boy: Albert Speer Story            Paula Astridge     Speer
Hillbilly Elegy                           J.D.Vance          J.D. Vance
Leonardo da Vinci                         Walter Isaacson    daVinci
iWoz                                      Steve Wonziak      Wozniak
# Multiple Biographies/Lives in general
Lives                                     Peter Robb         BlackInc
Salon.com guide to contemporary authors   ed Miller/Begley   Penguin
