# Humorous books, alphabetical by author surname
Dave Barry Turns 50                             Dave Barry        RandomHouse
The Naked Jape                                  Jimmy Carr        Penguin
Smoking Monkeys,Drilling Rigs,Bio-Diesel Bikes  Paul Carter       AllenUnwin
Male Order (mans style guide)                   Richard Clune     NewHolland
Making out in Chinese                           Daniels           Yenbooks
fin                                             James Delingpole  Picador
Shakespeares Star Wars: Verily, A New Hope      Ian Doescher      lucasbooks
Bridge Burning and Other Hobbies                Kitty Flanagan    dontcare
More Rules for Life                             Kitty Flanagan    dontcare
Kinky Friedman Crime Club                       Kinky Friedman    faber lost?
The Wind in the Willows                         Kenneth Grahame   methuen
Helene Hanff Omnibus                            Helene Hanff      warner
The Complete Polysyllabic Spree                 Nick Hornby       viking
The 158-Pound Marriage                          John Irving       dontcare
The Fourth Hand                                 John Irving       dontcare
Sweet Sweet Revenge Ltd                         Jonas Jonasson    harpervia
Girt                                            David Hunt        BlackInc
True Girt                                       David Hunt        BlackInc
Always look on the bright side of life          Eric Idle         W&N
Crazy Rich Asians                               Kevin Kwan        AllenUnwin
How to sound cultured                           Hodkingson        icon
The Phantom Tollbooth                           Norton Juster     Lions
Stuff White People Like                         Christian Lander  HardieGrant
Whiter Shades of Pale                           Christian Lander  hardieGrant
Land of Green Ginger                            Langley           Puffin
Last Chronicles of Ballyfungus                  Mary Manning      corgi
The Looney                                      Spike Milligan    penguin
The Lost Goon Shows                             Spike Milligan    robson
Puckoon                                         Spike Milligan    penguin R2023
Memoirs 1: Adolf Hitler My Part in his Downfall Spike Milligan    penguin
Memoirs 2: Rommel? Gunner Who?                  Spike Milligan    penguin
Memoirs 3: Monty: His Part in My Victory        Spike Milligan    penguin
Memoirs 4: Mussolini: His Part in my Downfall   Spike Milligan    penguin
Memoirs 5: Where have all the bullets gone?     Spike Milligan    penguin
Memoirs 6: Goodbye Soldier                      Spike Milligan    penguin
Memoirs 7: Peace Work                           Spike Milligan    penguin
Take My Word For it                             Frank Muir/Norden methuen
Love, Sex and other Natural Disasters           The Onion         Quirk
Overtaken                                       Alexei Sayle      sceptre
Islamic Republic of Australia                   Sami Shah         ABC
1066 and all that                               Sellar/Yeatman    penguin
The Game               lost?                    Neil Strauss      text
The Rules of the Game  lost?                    Neil Strauss      canongate
Spectator Columns 2001-2009                     Taki              quartet
Millions of Women are waiting to meet you       Sean Thomas       bloomsbury
The Compleat Molesworth                         Willans/Searle    penguin
The Compleet Molesworth (16th bday)             Willans/Serle     Pavilion
# no-author/various books
Things Bogans Like                              various           hachette
