# Maths books and history and bios
A Beautiful Mind                   Sylvia Nasar           faber
Calculus Wars                      Jason Bardi            HighStakes
From Erdos to Kiev: Olympic prons  Honsberger             MathsAssocUSA
A Generative Theory of Shape       Michael Layton         Springer
Genius in my Basement              Alexander Masters      FourthEstate
In Code                            Sarah Flannery         Workman
Man Who Loved Only Numbers (Erdos) Paul Hoffman           FourthEstate
Mathematical Quickies              Trigg                  Dover
Maths Olympiads: 2000-2001         various                MathsAssocUSA
My Brain is Open (Erdos)           Bruce Schechter        SimonSchuster
Revised 4 Unit Maths Course        J. Coroneous           self
Riddles in Mathematics             Eugene Northrop        Penguin
