# Books on Graphics Programming and OpenGL
Beginning OpenGL Game Progamming 2e    Luke Benstead        CourseTech
Computer Graphics 2e                   Foley/Van Dam        AWL
Computer Graphics with OpenGL 3e       Hearn/Baker          PTR
Maths for 3D Game Prog Comp Graphics   Eric Lenygel         CharlesRiver
OpenCL Programming Guide               Munshi/Gaster        AWL
OpenGL Distilled                       Martz                AWL
OpenGL ES 2.0 Programming Guide        Munshi/Ginsburg      AWL
OpenGL Programming for the X Windows   Kilgard              AWL
OpenGL Programming Guide 3e            Woo/Neider           AWL
OpenGL Reference Manual 3e             Architecture Board   AWL
OpenGL Shading Language 2e             Rost                 AWL
OpenGL Super Bible 2e                  Wright/Lipchak       WaiteGroup
