# books on the piano

Cloud Atlas                            David Mitchell         Sceptre
Frankenstein                       Mary Shelley            Penguin
Dracula                           Bram Stoker             Penguin
Battle Hymn of the Tiger Mother               Amy Chua         bloomsbury
Life on Mars Official Companion                Adams/Thompson   Pocket
The Onion Iconic Magazine Covers               TheOnion         LittleBrown
Psychogeography                                Self/Steadman    bloomsbury
Rewording the Brain                      David Astle         AllenUnwin
Top 100 Graduate Employers               GradAustralia       GradAustralia
Batsford Chess Openings 2                Kasparov/Keene      Batsford
The English Opening Volume 1             Marin               QualityChess
How to sound cultured                    Hodgkinson/Bergh    icon
