# Stageplays, theatre and poems, apart from Shakespeare
The Canterbury Tales Chaucer              Peter Ackroyd          Viking
Chekov: The Essential Plays               Anton Chekov           ModernLibrary
The Complete Beyond the Fringe            Benn/Cook/Mill/Moore   Methuen
Dante: Divine Comedy                      Clive James            Picador
Donne Selected Poems                      ed John Hayward        penguin
Education Rita                            Willy Russell          longman
From Fringe to Flying Circus              Roger Wilmut           EyreMethuen
Old Possums Book of Practical Cats        T S Eliot              faber
Orton: Complete Plays                 hbc Joe Orton              methuen
Profiles                                  Kenneth Tynan          NickHern
Songs of Innocence and Experience         William Blake          Huntington
Under Milk Wood                       hbc Dylan Thomas           Everyman
Woyzeck and other plays                   Georg Buchner          Oxford
