Ace on the River                           Barry Greenstein  LastKnight
Championship NL & Pot Limit Holdem (1997)  Cloutier/McEvoy   Cardsmith
Championship NL & Pot Limit Holdem (2004)  Cloutier/McEvoy   Cardoza
Read em and Reap                           Joe Navarro       HarperCollins
Bad Beats and Lucky Draws                  Phil Hellmuth     HarperCollins
Poker for Seniors                          Stuart Yarnold    InEasySteps
Elements of Poker                          Tommy Angelo      self
NLH A Complete Course                      Angel Largay      ECW
The Poker Mindset                          Ian Taylor/Hilger Dimat
The Kaizen of Poker                        Shree Bykofsky    ECW
PLO Understanding Winning Play             William Jockusch  TwoPlusTwo
The Science of Poker                       Mahmood Mahmood   HighStakes
Harrington on Holdem Vol 1         Dan Harrington/Bill Robertie  TwoPlusTwo
Harrington on Holdem Vol 2         Dan Harrington/Bill Robertie  TwoPlusTwo
Harrington on Holdem Vol 3         Dan Harrington/Bill Robertie  TwoPlusTwo
Harrington on Cash Games Vol 1     Dan Harrington/Bill Robertie  TwoPlusTwo
Harrington on Cash Games Vol 2     Dan Harrington/Bill Robertie  TwoPlusTwo
Play Poker Like the Pros           Phil Hellmuth                 HarperCollins
Total Poker                        David Spanier                 Fireside
Super System 2                     Doyle Brunson                 Cardoza
Power Holdem Strategy              Daniel Negreanu               Cardoza
