ActiveMQ in Action                 Snyder                manning printout
Advanced PostgreSQL                Duffy                 printout
Elec 370 Operating Systems Notes   Betz                  UniNcle printout
Extending Puppet                   Franceschi            packt printout
Hands-on TCP/IP in Practice        optus                 optus printout
Java Message Service               Richards              ora printout
JIRA Development Cookbook          Kuruvilla             packt printout
Kubernetes: Sched Future Cloudscale David K Rensin       ORA
Mastering Puppet                   Uphill                packt printout
Maximum RPM                        Bailey                RedHat printout
NMap6 Network Exploration Security Pale                  packt printout
Optus Total Technical Picture      optus                 optus printout
OSDC Conf Proceedings 2005 Melb    various               OSDC
OSDC Conf Proceedings 2006 Melb    various               OSDC
OSDC Conf Proceedings 2007 Bris    various               OSDC
OSDC Conf Proceedings 2008 Sydney  various               OSDC
The PL/pgSQL Procedural Language   Duffy                 printout
PostgreSQL Programmer's Guide      Lockhart              printout
PostgreSQL Administrator's Guide   Lockhart              printout
PostgreSQL User's Guide            Lockhart              printout
Site Reliability Engineering       Google                ora printout
Texinfo                            Chassell,Stallman     gnu printout
Understanding Data Networks/Comms  Optus                 optus printout
Version Control with Git 2e        Loeliger              ora printout
Version Management with CVS        Cederqvist            printout
