# books by or connected to Rolling Stone Magazine
# includes Hunter S. Thompson and P. J. O'Rourke
# also includes Rock Bands, Pop Music and Pop Culture
The Love you make                   Peter Brown/Gaines     McGrawHill
Give my regards to Broad Street     Paul McCartney             Pavillion
Peter Chriss book lost?
Shiprocked                    lost? Steve Conway               Liberties
Age and Guile beat Youth            P J O'Rourke               picador
All the trouble in the world        P J O'Rourke               picador
The Bachelor Home Companion         P J O'Rourke               picador
The Baby Boom                       P J O'Rourke               atlantic
A Cry from the Far Middle           P J O'Rourke               atlantic
Don't Vote: It just encourages      P J O'Rourke               atlantic
Driving like Crazy                  P J O'Rourke               atlantic
Holidays in Heck                    P J O'Rourke               atlantic
Holidays in Hell                    P J O'Rourke               picador
How the hell did this happen?       P J O'Rourke               Grove
How the hell did this happen?       P J O'Rourke               atlantic
None of My Business                 P J O'Rourke               atlantic
Republican Party Reptile            P J O'Rourke               picador
The Beatles bio                     Bob Spitz                  LittleBrown
Fear and Loathing in Las Vegas      Hunter S Thompson          flamingo
Hunter S Thompson Fear and Loathing at the Rolling Stone lost?
Hunter S Thompson Proud Highway Letters lost?
Generation of Swune                 Hunter S Thompson          picador
Hell's Angels                       Hunter S Thompson          penguin
The Joke's Over (HST Memories)      Ralph Steadman             Arrow
Hit Factory                         Stock                      NewHolland
20 Years of Rolling Stone           Jann Wenner                Fontana
The Rolling Stone Interviews        Jann Wenner                BackBay
Gonzo: Life of Hunter S Thompson    Jann Wenner/Corey Seymour  LittleBrown
Lennon Remembers: RS interviews     Jann Wenner/John Lennon    Penguin
Sticky Fingers: Jann Wenner         Joe Hagan                 Penguin

