# self help and improvement titles
Art of Thinking Clearly                         Rolf Dobelli      sceptre
BE! Steps to becoming who you want to be        Keith Abraham     passion
Bounce: Myth of talent power of practice        Matthew Syed      fourth
A couple's guide to Sexual Addiction            Collins/Collins   adams
essentialism: disciplined pursuit of less       Greg McKeown      virgin
Focus: Beat Procrastination Forever             Keith Abraham     passion
Life-Changing Magic of Tidying                  Marie Kondo       vermillion
Make Time: Focus on what matters every day      Knapp/Zeratsky    curremcy
Sham: Self Help Actualization Movement          Salerno           nb R2023
The Spirit of Kaizen                            Robert Maurer     McGrawHill
Why Buddhism is True                            Robert Wright     SimonSchuster
