# This file is a bit different for two reasons
# (1) I would like to collect all of Wodehouse so I'm enumerating his works
# (2) His books often published under different US titles
#     so they are mentioned also eg
# The Cat Nappers (US) == Aunt's Aren't Gentlemen (UK)
# UK titles are preferred throughout. Earliest published date preferred.
# See Frances Donaldson pp 355-359
#
# Omnibus/Publisher codes
# JO1,JO3,JO4 Jeeves Ombnibus 1,3,4
# JO1: Thank you, Jeeves/Code of the Woosters/Inimitable Jeeves whb
# JO3: Mating Season/Ring for Jeeves/Very Good, Jeeves whb
# JO4: J and Feudal Spirit/Stiff Upper Lip J/J in the Offing whb
# GO:  Clicking of Cuthbert/Heart of a Goof whb
# LAB: Life At Blandings Obus whb Something Fresh/Summer Lightning/Heavy Weather
# TBO: The Blandings Omnibus: whb Something Fresh/Summer Lightning/Heavy Weather
# LAB published by Penguin, TBO hardback published by Hutchinson
# JWO: Jeeves&Wooster Omni whb Mating Season/Code of Woosters/Right Ho Jeeves
# UFO Uncle Fred Omminus: UF in the Springtime/Uncle Dynamite/Cocktail Time whb
# arp Arrow Paperback
# cnet Coronet paperback
#  hj Herbert Jenkins or Barrie Jenkins typically small hardbacks
# ovl Overlook New York beautiful small hardbacks with comic dustjackets
# png Penguin red spine standalone
# pvc Penguin Very Colourful with Ben Elton Stephen Fry quotes
# str Star Paperbacks


Adventures of Sally,The        1922 own pvc
America, I like you            1957 US == Over Seventy
Aunts aren't Gentlemen         1974 own arp R2023
Angle Cake                     1952 US == Barmy in Wonderland
Author! Author!                1953 US == Performing Flea
Bachelors Anonymous            1973
Barmy in Wonderland            1952 own cnet
Bertie Wooster sees it through 1954 US == Jeeves and the Feudal Spirit
Biffen's Millions              1964 US == Frozen Assets
Big Money                      1931 own arp
Bill the Conqueror             1924
Blandings Castle               1935 own pvc
Bring on the Girls             1953
Brinkley Manor                 1934 US == Right Ho, Jeeves
Brinksmanship Galaha Threepwoo 1965 US == Galahad at Blandings 
Butler Did it,The              1957 US == Something Fishy
Carry on Jeeves                1925 own pvc
Cat Nappers,The                1974 US == Aunts aren't Gentlemen
Clicking of Cuthbert,The       1922 own GO arp
Cocktail Time                  1958 own hj UFO arp
Code of the Woosters,The       1938 own pengred JWO arp JO1
Coming of Bill,The             1919
Company for Henry              1967
Crime Wave at Blandings        1937 US == Lord Emsworth and Others
Damsel in Distress,A           1919 own pvc
Divots                         1926 US == Heart of a Goof
Do Butlers Burgle Banks?       1968 own png 
Doctor Sally                   1932 own png
Eggs, Beans and Crumpets       1940 own png
A Few Quick Ones               1959 own hj
French Leave                   1956 own png hj
Gold Bat,The                   1904
Head of Kay's,The              1905
Hot Water                      1932 own arp
How right you are, Jeeves      1960 US == Jeeves in the Offing
Fish Preferred                 1929 US == Summer Lightning
Frozen Assets                  1964
Full Moon                      1947 own arp
Intrusion of Jimmy,The         1910 US == A Gentleman of Leisure
Galahad at Blandings           1965 own hj
Gentleman of Leisure,A         1910 own str R2024
Girl in Blue,The               1970 own pvc
Girl on the boat,The           1922 own hj
Globe by the way Book,The      1908
Golf Without Tears             1922 US == The Clicking of Cuthbert
He rather enjoyed it           1924 US == Ukridge
Heart of a Goof                1926 own GO pvc
Heavy Weather                  1933 own LAB TBO
Ice in the Bedroom             1961
If I were you                  1931
Indiscretions of Archie        1921 own hj
Jill the Reckless              1920
Joy in the Morning             1946 own arp
inimitable Jeeves,The          1932 own JO1 pvc arp
Jeeves                         1932 US == The inimitable Jeeves
Jeeves and the Feudal Spirit   1954 own JO4 hj
Jeeves and the tie that binds  1971 US == Much Obliged, Jeeves
Jeeves in the Offing           1960 own JO4 pvc arp
Laughing Gas                   1936 own arp
Little Nugget,The              1913
Little Warrior,The             1920 US == Jill the Reckless
Leave it to Psmith             1923 own arp R2024 pengred
Louder and Funnier             1932
Luck of the Bodkins,The        1935
Lord Emsworth and Others       1937
Love Among the Chickens        1906 own hj R2024
Man Upstairs,The               1915
Man with Two Left Feet,The     1917 own png
Mating Season,The              1949 own JO3 JWO
Meet Mr Mulliner               1927 own arp
Money in the Bank              1942 own png 
Money for Nothing              1928 own pvc
Mostly Sally                   1922 US == The Adventures of Sally
Mr Mulliner Speaking           1929
Much Obliged, Jeeves           1971 own pvc
Mulliner Nights                1933 own hj
My Man Jeeves                  1919
No Nudes is Good Nudes         1969 US == A Pelican at Blandings
Not George Washington          1907
Nothing Serious                1950
Old Reliable,The               1951
Over Seventy                   1957
Pearls, Girls and Monty Bodkin 1972 own png
A Pelican at Blandings         1969 own arp
Performing Flea                1953
Picadilly Jim                  1917 own pvc arp
Pigs have wings                1952 own arp
Plot that thickened,The        1972 US == Pearls, Girls and Monty Bodkin
Plum Pie                       1966
Pothunters,The                 1902
A Prefect's Uncle              1903
Prince and Betty,The           1912
Psmith in the City             1910 own ovl
Psmith Journalist              1915 own png
Purloined Paperweight,The      1966 US == Company for Henry
Quick Service                  1940
Return of Jeeves,The           1953 US == Ring for Jeeves
Right Ho, Jeeves               1934 own ovl pvc JWO
Ring for Jeeves                1953 own JO3 pvc
Sam the Sudden                 1925 own png
Sam in the Suburbs             1925 US == Sam the Sudden
Service with a Smile           1961 own arp
Small Bachelor,The             1927 own arp
Something Fishy                1957 own str
Something Fresh                1915 own pvc LAB TBO arp
Something New                  1915 US == Something Fresh
Spring Fever                   1948 own hj
Stiff Upper Lip, Jeeves        1963 own arp JO4 ovl
Summer Lightning               1929 own LAB TBO
Summer Moonshine               1937
Sunset at Blandings            1977 own cnet
Swoop,The                      1909
Tales of St Austin's           1903
Thank You Jeeves               1934 own pvc JO1
Their Mutual Child             1919 US == The Coming of Bill
Three Men and a Maid           1922 US == The Girl on the Boat
Ukridge                        1924 own arp
Uneasy Money                   1916 own png
Uncle Dynamite                 1948 own UFO
Uncle Fred in the Springtime   1939 own arp UFO
Very Good, Jeeves              1930 own JO3 pvc
White Feather,The              1907
William Tell Told Again        1904
Young Men in Spats             1936 own arp
# About Wodehouse
P G Wodehouse A Biography      own Frances Donaldson AndreDeutsch pb
P G Wodehouse Authorised Bio   own whb Frances Donaldson WeidenfeldNicholson hb
P G Wodehouse Illustrated Bio  own whb Joseph Connolly EelPie
P G Wodehouse A Literary Bio   own whb Benny Green Pavilion
Jeeves and Wooster             own Nigel Cawthorne
Jeeves and the Wedding Bells   own by Sebastian Faulks
